汉服店铺,店铺全名&地址,男/女装,提名人,风格,形制,comments
一念居,https://shop104141410.taobao.com/,女装,珊,日常,,
七月夕,https://shop212490833.taobao.com/ / https://shop271576835.taobao.com/,女装,珊,"仙女华丽风, 日常",,
万袖明宋衣庄,https://shop288635846.taobao.com/,女装,珊,日常,"宋制, 明制",
京云染,https://shop197730654.taobao.com/,女装,"婧婧, 珊",日常,,
佛伦汉服,https://shop35803650.taobao.com/,女装,花花,礼服,战国袍曲裾直裾,
公卿传统服饰,https://shop130476799.taobao.com/,,庭柯,日常,明制,
六百万堂,https://shop371530938.taobao.com/,女装,珊,,,
十三余,https://shop386780087.taobao.com/ / https://shop156108736.taobao.com/,"女装, 少量男装",珊,,,
南山韵味,https://shop71201062.taobao.com/,男装,花花,,,
吉元裳织,https://shop399400653.taobao.com/,女装,珊,,,
君陈汉服,https://shop260954898.taobao.com/,男装,花花,,,
四时欢喜,https://shop110087616.taobao.com/,女装,,,,
囿春,https://shop320791608.taobao.com/,男装,庭柯,"复原, 礼服",明制,
塵余馆,https://shop67623819.taobao.com/,,庭柯,复原,明制,
天汉骄阳汉服,https://shop120494615.taobao.com/,男装,花花,,,
妗娥,https://shop36037801.taobao.com/?spm=pc_detail.27183998/evo401271b517998.202202.1.56397dd649xkPa,,庭柯,"复原, 礼服","宋制, 明制",
子衣明堂,https://shop508467945.taobao.com/,,庭柯,礼服,明制,
寻秦,https://shop64993038.taobao.com/,女装,,,,
山涧 服饰,https://shop34211233.taobao.com/,男装,花花,,,
帝尧汉服,https://shop324828603.taobao.com/,女装,,,,
异志阁,https://shop193546864.taobao.com/,女装,kelly,,,
怀古居,https://shop492246565.taobao.com/?spm=a230r.7195193.1997079397.2.5c1c2ed4PjBkQf,女装,花花,礼服,战国袍曲裾直裾,
执月,https://shop101745704.taobao.com/,"女装, 男装",,,,
控弦司,https://shop145715045.taobao.com/,男装,花花,,,
春下汉服,https://shop102419025.taobao.com/,女装,珊,,,
柏舟记,https://shop432951547.taobao.com/,"女装, 少量男装",花花,,,
桑谣记,https://shop347398511.taobao.com/,,家有猛虎,,,
汉建章,https://shop72207206.taobao.com/,男配饰,花花,,,
池夏,https://shop174173590.taobao.com/ / https://shop178417977.taobao.com/?spm=a230r.7195193.1997079397.29.1013573fMZnugR,女装,,,,
沉香画舫,https://shop109391342.taobao.com/,,庭柯,日常,"唐制, 宋制",
泊月汉服,https://shop104336607.taobao.com/,,,,"宋制, 明制",
洞庭汉风,https://shop100368875.taobao.com/,男装,花花,,,
淮边筱竹,https://shop108521617.taobao.com/,"少量女装, 男装",花花,,,
燕云织造局,https://shop73140442.taobao.com/,女装,"kelly, 珊",,,
琉鱼汉服,https://shop143643855.taobao.com/,"女装, 男装",花花,,,
琴挑不是琴桃,https://shop279176165.taobao.com/,女装,花花,礼服,战国袍曲裾直裾,
留白,https://shop180386616.taobao.com/,,庭柯,日常,宋制,
瞳莞,https://shop527063245.taobao.com/ / https://shop34592637.taobao.com/,女装,珊,,,
砚滨纱,https://shop141770880.taobao.com/,女装,珊,,,
秋木木,https://shop548836381.taobao.com/,女装,珊,,,
空谷記,https://shop67572475.taobao.com/,女装,珊,,,
纨绮传统服饰,https://shop109995651.taobao.com/,,花花,,战国袍曲裾直裾,
织造司,https://shop372773297.taobao.com/,女装,珊,,,
绣罗衣汉服,https://shop225352567.taobao.com/?spm=a230r.7195193.1997079397.2.63e87cc8se9Utr,男装,花花,,,
罗兰尼克,https://shop57166645.taobao.com/,男装,花花,,,
翰云纪,https://shop395679711.taobao.com/,女装,珊,,,
若兰兮,https://shop70469190.taobao.com/,女装,珊,,,
莀景汉服,https://shop577145190.taobao.com/,,庭柯,"日常, 礼服",明制,
衔泥,https://shop33287478.taobao.com/,女装,kelly,,,
装束复原桑缬,https://yushan-gu.github.io/AmesHanfu.html,男装,花花,,,
裳裳者华,https://shop520973720.taobao.com/,女装,"庭柯, 珊",日常,明制,
褍正记,https://shop306836669.taobao.com/,,庭柯,复原,明制,
襦一坊,https://shop122132323.taobao.com/,女装,kelly,,"唐制, 宋制, 战国袍曲裾直裾",香云纱汉服也不错 尤其唐宋制，晋制战国袍也有一些
赵氏汉服,https://shop489507397.taobao.com/,女装,珊,,,
重回汉唐,https://shop152303815.taobao.com/ / https://shop34512860.taobao.com/,女装,珊,,,
钟灵记,https://shop413656313.taobao.com/ / https://shop61686962.taobao.com/,女装,"kelly, 珊",,,
锦瑟,https://shop36962770.taobao.com/,,kelly,,,
风间林,https://shop402596971.taobao.com/,女装,"kelly, 珊",,,
鸾羽仙缘阁,https://shop103143467.taobao.com/,女装,珊,,,
鹤庐,https://shop35823688.taobao.com/?spm=a230r.7195193.1997079397.2.56832b391EO6Tn,女装,kelly,,,
